width,depth,ESP
15,11,0.020312677390601462
15,11,0.048477262793879185
15,11,0.059540170781342105
15,11,0.033018630536156626
15,11,0.007225599809318391
15,11,0.002398694435277429
15,11,0.028956062961751215
15,11,0.02084105262378691
15,11,4.486505450772921e-28
15,11,5.458523884626451e-06
15,11,0.06474228855126639
15,11,1.218845563310218e-29
15,11,1.4900145651410548e-10
25,53,0.03224027408090694
25,53,1.0
25,53,3.5883748449743674e-06
25,53,0.0005812267783172639
25,53,5.632592275580566e-12
25,53,3.8682981154053727e-10
25,53,0.0014618760879931377
25,53,8.899974560163732e-08
25,53,0.0004235915498070888
25,53,0.0047898683453552835
25,53,0.0014770946229804983
25,53,0.0018325529071641067
25,53,0.0009724924710441758
25,53,0.0006980686122677175
25,53,0.0008832605941870668
25,53,0.004609074303331908
25,53,4.902848271347711e-72
25,53,5.4949990942132444e-11
25,53,0.0036877516929266292
25,53,3.548005256727738e-105
25,53,1.0721853310285147e-43
20,71,0.0004946163067281326
20,71,0.07394473600933868
20,71,1.0
20,71,8.668249384228687e-06
20,71,0.0008568678037675476
20,71,1.9171179585100294e-06
20,71,0.0001362359467880903
20,71,0.000706484731733903
20,71,1.680376946891232e-10
20,71,0.00329110940428916
20,71,0.03428076853174433
20,71,0.01839473707738135
20,71,0.009513975620359485
20,71,0.012336141771914524
20,71,0.0003761319426181389
20,71,0.011598111628461081
20,71,0.0582147630430428
20,71,2.079499913379792e-37
20,71,1.659866511589125e-09
20,71,0.219646788802358
20,71,5.657332899522642e-13
20,71,4.714893482797342e-10
30,110,0.0006128452274958941
30,110,1.0
30,110,1.4650140095917484e-12
30,110,4.4967392356666034e-08
30,110,5.790042424658271e-14
30,110,1.6824691490850892e-13
30,110,1.1016281748426978e-08
30,110,2.670247268800505e-16
30,110,1.0874859861600238e-09
30,110,1.2380894206382165e-05
30,110,1.3286747921620092e-06
30,110,4.881094289703198e-07
30,110,8.797859577643277e-08
30,110,4.180888380560294e-08
30,110,1.1135535807159482e-06
30,110,2.6813912800450296e-07
30,110,1.4875238165244176e-62
30,110,3.465862069753515e-17
30,110,8.892765101591926e-05
30,110,6.59178205859948e-156
30,110,3.005730760500713e-70
12,9,0.40802048434950594
12,9,0.35779770321445054
12,9,0.6457678960143018
12,9,0.619954102951315
12,9,0.39120146429609826
12,9,0.635818282716575
12,9,1.0
12,9,0.29476831279132854
12,9,0.6243044387484237
12,9,0.04524616308360545
12,9,0.44516597087594967
12,9,0.26812184582617904
12,9,0.01028820110466564
12,9,0.524697594255005
12,9,0.6805112235405064
12,9,0.6348529084623226
12,9,0.4696953782752679
12,9,0.26375397471094947
12,9,0.3959905618781674
12,9,0.5503446673687522
12,9,0.29946738355082797
12,9,0.09382701617528105
12,9,0.06589110184343333
12,9,0.4762350978412064
12,9,0.04214237492719794
12,9,0.26004214022258243
27,17,0.1165176651677287
27,17,0.3189329383759414
27,17,1.0
27,17,0.030471315561823326
27,17,0.11834640298835249
27,17,0.0023834566118840082
27,17,0.009794701427715217
27,17,0.08253436988853055
27,17,0.005467097161966827
27,17,0.15708800009698934
27,17,0.25398545719904525
27,17,0.21704104222291645
27,17,0.17825910053847305
27,17,0.13045895414876285
27,17,0.11700786093233866
27,17,0.1712660942586614
27,17,0.1691784334237182
