id,rz,sx,x,cx,reset,measure,u3,u2,u1,measureSuccess,u3Success,u2Success,cxSuccess,rzSuccess,u1Success,resetSuccess,xSuccess,sxSuccess,idSuccess,Machine,GraphDensity,AvgDegree,AvgConnectivity,AvgNeighborDegree,AvgClustering,AvgShortestPath,NumQubit,Depth,qubit_count,circuit_depth,circuit_width,retention_lifespan,gate_density,dual_gate_count,measurement_density,size_factor,gate_count,entanglement_variance,PST,TVD,Entropy,Swaps,L2,Hellinger
0,26,4,2,20,0,4,-1,-1,-1,0.9750222222222225,1.0,1.0,0.9919042079657124,1,1,0.9437309828942176,0.9995426622425977,0.9995426622425977,0.9995426622425977,23,0.07977207977207977,2.074074074074074,1.601139601139601,2.4814814814814814,0.0,4.951566951566951,27,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.4951171875,0.504882812425,1.8303182627910846,10,0.545764777064656,0.7698656005010327
0,26,4,2,20,0,4,-1,-1,-1,0.9693740740740737,1.0,1.0,0.9943698757559997,1,1,0.9818246149702419,0.9998042390090599,0.9998042390090599,0.9998042390090599,24,0.07977207977207977,2.074074074074074,1.601139601139601,2.4814814814814814,0.0,4.951566951566951,27,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.21484375,0.785156249925,2.5964751840008407,8,0.8145549902478145,1.0358348404224522
0,26,4,2,20,0,4,-1,-1,-1,0.9696148148148146,1.0,1.0,0.9905215054671948,1,1,0.9732593836584447,0.9995827882190823,0.9995827882190823,0.9995827882190823,27,0.07977207977207977,2.074074074074074,1.601139601139601,2.4814814814814814,0.0,4.951566951566951,27,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.3525390625,0.647460937425,2.3689975698900616,10,0.6708451295591716,0.901377029317051
0,26,4,2,20,0,4,-1,-1,-1,0.9610814814814814,1.0,1.0,0.986032855011679,1,1,0.9641410123935544,0.9995807905842661,0.9995807905842661,0.9995807905842661,35,0.07977207977207977,2.074074074074074,1.601139601139601,2.4814814814814814,0.0,4.951566951566951,27,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.560546875,0.439453124925,1.660460188342266,8,0.47579143243003874,0.7089372085529454
0,26,4,2,20,0,4,-1,-1,-1,0.955177777777778,1.0,1.0,0.9762510894616516,1,1,0.8874855093297573,0.9972079568837919,0.9972079568837919,0.9972079568837919,38,0.07977207977207977,2.074074074074074,1.601139601139601,2.4814814814814814,0.0,4.951566951566951,27,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.0302734375,0.969726562425,2.306041669598152,8,1.044634342731841,1.2852988421857965
0,-1,-1,-1,20,-1,4,2,4,18,0.8731785714285714,0.996514591426857,0.9982558893904038,0.8196572178542579,1,1,1.0,1.0,1.0,0.9982558893904038,9,0.07936507936507936,2.142857142857143,2.015873015873016,2.2142857142857144,0.0,5.023809523809524,28,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.30859375,0.691406249925,2.3678572111721397,10,0.7226061004462857,0.9428447553671128
0,-1,-1,-1,20,-1,4,2,4,18,0.8555188679245285,0.9960435527728214,0.9980167376396638,0.907673101699455,1,1,1.0,1.0,1.0,0.9980167376396638,30,0.0420899854862119,2.188679245283019,1.9404934687953557,2.3459119496855347,0.0,7.3918722786647315,53,23,4,25,4,3.2188758248682006,0.64,20,1.151292546497023,4.1588830833596715,44,0.5493061443340549,0.1044921875,0.895507812425,2.743453187263481,10,0.9259347265223081,1.1633881126705843
0,26,4,2,20,0,4,-1,-1,-1,0.9565830769230769,1.0,1.0,0.8120878381313554,1,1,0.9754085618088066,0.9998105609797437,0.9998105609797437,0.9998105609797437,20,0.03461538461538462,2.2153846153846155,1.9826923076923078,2.3743589743589744,0.0,7.892307692307693,65,31,4,33,4,3.4965075614664802,0.5454545454545454,20,1.2207004806465926,4.276666119016055,52,0.5493061443340549,0.0537109375,0.946289062425,2.7560259734484007,8,0.9783586996701834,1.2395417971534732
0,13,2,2,10,0,4,-1,-1,-1,0.9833400000000001,1.0,1.0,0.9942310916292324,1,1,0.9779285576818812,0.9996294597819153,0.9996294597819153,0.9996294597819153,2,0.4,1.6,1.0,1.8,0.0,2.0,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.6884765625,0.31152343743,1.2997170140169059,4,0.3333183920915029,0.583522642963532
0,13,2,2,10,0,4,-1,-1,-1,0.9696,1.0,1.0,0.9927898647489171,1,1,0.9527843293420855,0.9997106123221975,0.9997106123221975,0.9997106123221975,3,0.4,1.6,1.0,2.2666666666666666,0.0,1.8,5,16,4,18,4,2.8903717578961645,0.5138888888888888,10,1.0691665297540138,3.6109179126442243,27,0.27465307216702745,0.7001953125,0.299804687425,1.2427789839418666,8,0.3228776149218721,0.5713451381711339
