id,rz,sx,x,cx,reset,measure,u1,u3,u2,AvgDegree,NumQubit,PST,TVD,Entropy,Swaps
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.37890625,0.621093749855,2.9171643561785627,9
0,-1,-1,-1,20,-1,5,30,0,9,3.2,5,0.58984375,0.41015624986,2.4910058972107425,7
0,-1,-1,-1,20,-1,5,30,0,9,3.2,5,0.490234375,0.509765624855,2.78383715990767,6
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.73828125,0.26171874987,2.0577824034089667,10
0,-1,-1,-1,20,-1,5,30,0,9,3.2,5,0.6005859375,0.399414062355,2.513171884879081,7
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.7314453125,0.26855468738,2.0196818605510125,9
0,48,9,0,20,-1,5,-1,-1,-1,3.2,5,0.8173828125,0.1826171874,1.747204842652074,6
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.3505859375,0.64941406236,3.0378001031235193,9
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.712890625,0.287109374855,2.2045803138738913,9
0,48,9,0,20,0,5,-1,-1,-1,3.2,5,0.8173828125,0.1826171874,1.778729562378758,9
0,-1,-1,-1,20,-1,5,30,0,9,2.4,5,0.1904296875,0.809570312355,3.3644991985765693,8
0,48,9,0,20,-1,5,-1,-1,-1,3.2,5,0.7314453125,0.268554687355,2.1011705765848445,8
0,48,9,0,20,-1,5,-1,-1,-1,3.2,5,0.7470703125,0.252929687385,2.0552754881134976,10
0,48,9,0,20,0,5,-1,-1,-1,4.8,5,0.4287109375,0.57128906236,2.5719156229510767,6
0,48,9,0,20,0,5,-1,-1,-1,3.4285714285714284,7,0.6640625,0.33593749986,2.314321038108654,11
0,48,9,0,20,0,5,-1,-1,-1,3.4285714285714284,7,0.65234375,0.34765624987,2.308839755626512,10
0,48,9,0,20,0,5,-1,-1,-1,3.4285714285714284,7,0.8046875,0.19531249987,1.9115088393646686,10
0,48,9,0,20,0,5,-1,-1,-1,3.4285714285714284,7,0.748046875,0.25195312487,2.0513765811519877,10
